    Raman shift    inc freq                      X                               Y                                Z
                                            Real       Imag                 Real       Imag                 Real       Imag
      0.00000    33996.25110        0.177182E+01   0.577188E-01     -0.818199E+01  -0.266536E+00     -0.882982E-14  -0.293531E-15

                                   -0.818199E+01  -0.266536E+00      0.377830E+02   0.123082E+01      0.379148E-13   0.122904E-14

                                   -0.882982E-14  -0.293531E-15      0.379148E-13   0.122904E-14      0.735419E-03   0.325155E-04

      0.00000    34036.57880        0.177760E+01   0.582300E-01     -0.820866E+01  -0.268896E+00     -0.885920E-14  -0.296185E-15

                                   -0.820866E+01  -0.268896E+00      0.379062E+02   0.124172E+01      0.380379E-13   0.123987E-14

                                   -0.885920E-14  -0.296185E-15      0.380379E-13   0.123987E-14      0.738668E-03   0.328829E-04

      0.00000    34076.90650        0.178343E+01   0.587474E-01     -0.823557E+01  -0.271286E+00     -0.888883E-14  -0.298873E-15

                                   -0.823557E+01  -0.271286E+00      0.380305E+02   0.125275E+01      0.381620E-13   0.125082E-14

                                   -0.888883E-14  -0.298873E-15      0.381620E-13   0.125082E-14      0.741954E-03   0.332565E-04

      0.00000    34117.23420        0.178931E+01   0.592713E-01     -0.826272E+01  -0.273705E+00     -0.891874E-14  -0.301596E-15

                                   -0.826272E+01  -0.273705E+00      0.381559E+02   0.126392E+01      0.382871E-13   0.126192E-14

                                   -0.891874E-14  -0.301596E-15      0.382871E-13   0.126192E-14      0.745277E-03   0.336366E-04

      0.00000    34157.56190        0.179524E+01   0.598017E-01     -0.829011E+01  -0.276154E+00     -0.894892E-14  -0.304354E-15

                                   -0.829011E+01  -0.276154E+00      0.382824E+02   0.127524E+01      0.384135E-13   0.127316E-14

                                   -0.894892E-14  -0.304354E-15      0.384135E-13   0.127316E-14      0.748637E-03   0.340234E-04

      0.00000    34197.88960        0.180122E+01   0.603388E-01     -0.831775E+01  -0.278635E+00     -0.897937E-14  -0.307148E-15

                                   -0.831775E+01  -0.278635E+00      0.384100E+02   0.128669E+01      0.385408E-13   0.128453E-14

                                   -0.897937E-14  -0.307148E-15      0.385408E-13   0.128453E-14      0.752036E-03   0.344168E-04

      0.00000    34238.21730        0.180726E+01   0.608826E-01     -0.834563E+01  -0.281146E+00     -0.901011E-14  -0.309979E-15

