  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      40045.41         0.30601E+04   0.12883E+04   0.11390E+05   0.00000E+00
       0.00      40085.73         0.31337E+04   0.13192E+04   0.11665E+05   0.00000E+00
       0.00      40126.06         0.32115E+04   0.13519E+04   0.11955E+05   0.00000E+00
       0.00      40166.39         0.32938E+04   0.13865E+04   0.12262E+05   0.00000E+00
       0.00      40206.72         0.33807E+04   0.14229E+04   0.12586E+05   0.00000E+00
       0.00      40247.04         0.34722E+04   0.14614E+04   0.12927E+05   0.00000E+00
       0.00      40287.37         0.35685E+04   0.15018E+04   0.13286E+05   0.00000E+00
       0.00      40327.70         0.36695E+04   0.15442E+04   0.13662E+05   0.00000E+00
       0.00      40368.03         0.37753E+04   0.15886E+04   0.14057E+05   0.00000E+00
       0.00      40408.36         0.38858E+04   0.16350E+04   0.14469E+05   0.00000E+00
       0.00      40448.68         0.40011E+04   0.16834E+04   0.14899E+05   0.00000E+00
       0.00      40489.01         0.41211E+04   0.17338E+04   0.15347E+05   0.00000E+00
       0.00      40529.34         0.42457E+04   0.17861E+04   0.15812E+05   0.00000E+00
       0.00      40569.67         0.43747E+04   0.18402E+04   0.16293E+05   0.00000E+00
       0.00      40609.99         0.45082E+04   0.18962E+04   0.16791E+05   0.00000E+00
       0.00      40650.32         0.46460E+04   0.19540E+04   0.17306E+05   0.00000E+00
       0.00      40690.65         0.47884E+04   0.20138E+04   0.17837E+05   0.00000E+00
       0.00      40730.98         0.49357E+04   0.20756E+04   0.18387E+05   0.00000E+00
       0.00      40771.30         0.50887E+04   0.21398E+04   0.18958E+05   0.00000E+00
       0.00      40811.63         0.52484E+04   0.22068E+04   0.19553E+05   0.00000E+00
       0.00      40851.96         0.54164E+04   0.22772E+04   0.20180E+05   0.00000E+00
       0.00      40892.29         0.55945E+04   0.23520E+04   0.20845E+05   0.00000E+00
       0.00      40932.62         0.57848E+04   0.24318E+04   0.21555E+05   0.00000E+00
       0.00      40972.94         0.59893E+04   0.25175E+04   0.22319E+05   0.00000E+00
       0.00      41013.27         0.62099E+04   0.26100E+04   0.23142E+05   0.00000E+00
       0.00      41053.60         0.64480E+04   0.27099E+04   0.24031E+05   0.00000E+00
       0.00      41093.93         0.67046E+04   0.28175E+04   0.24989E+05   0.00000E+00
       0.00      41134.25         0.69804E+04   0.29331E+04   0.26018E+05   0.00000E+00
       0.00      41174.58         0.72747E+04   0.30564E+04   0.27118E+05   0.00000E+00
       0.00      41214.91         0.75863E+04   0.31870E+04   0.28281E+05   0.00000E+00
       0.00      41255.24         0.79126E+04   0.33237E+04   0.29500E+05   0.00000E+00
       0.00      41295.56         0.82486E+04   0.34644E+04   0.30755E+05   0.00000E+00
       0.00      41335.89         0.85876E+04   0.36064E+04   0.32022E+05   0.00000E+00
       0.00      41376.22         0.89201E+04   0.37456E+04   0.33265E+05   0.00000E+00
       0.00      41416.55         0.92328E+04   0.38765E+04   0.34433E+05   0.00000E+00
       0.00      41456.88         0.95096E+04   0.39923E+04   0.35468E+05   0.00000E+00
       0.00      41497.20         0.97319E+04   0.40852E+04   0.36300E+05   0.00000E+00
       0.00      41537.53         0.98802E+04   0.41472E+04   0.36855E+05   0.00000E+00
       0.00      41577.86         0.99378E+04   0.41711E+04   0.37071E+05   0.00000E+00
       0.00      41618.19         0.98948E+04   0.41530E+04   0.36912E+05   0.00000E+00
       0.00      41658.51         0.97521E+04   0.40931E+04   0.36379E+05   0.00000E+00
       0.00      41698.84         0.95237E+04   0.39975E+04   0.35526E+05   0.00000E+00
       0.00      41739.17         0.92354E+04   0.38768E+04   0.34448E+05   0.00000E+00
       0.00      41779.50         0.89209E+04   0.37453E+04   0.33272E+05   0.00000E+00
       0.00      41819.82         0.86151E+04   0.36174E+04   0.32128E+05   0.00000E+00
       0.00      41860.15         0.83475E+04   0.35057E+04   0.31126E+05   0.00000E+00
       0.00      41900.48         0.81383E+04   0.34184E+04   0.30342E+05   0.00000E+00
       0.00      41940.81         0.79970E+04   0.33596E+04   0.29812E+05   0.00000E+00
       0.00      41981.14         0.79234E+04   0.33291E+04   0.29535E+05   0.00000E+00
       0.00      42021.46         0.79088E+04   0.33233E+04   0.29478E+05   0.00000E+00
       0.00      42061.79         0.79403E+04   0.33367E+04   0.29594E+05   0.00000E+00
       0.00      42102.12         0.80020E+04   0.33628E+04   0.29823E+05   0.00000E+00
       0.00      42142.45         0.80783E+04   0.33949E+04   0.30107E+05   0.00000E+00
