  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      41739.17         0.10385E+06   0.43265E+05   0.38949E+06   0.00000E+00
       0.00      41779.50         0.10321E+06   0.42998E+05   0.38710E+06   0.00000E+00
       0.00      41819.82         0.10259E+06   0.42739E+05   0.38476E+06   0.00000E+00
       0.00      41860.15         0.10195E+06   0.42474E+05   0.38237E+06   0.00000E+00
       0.00      41900.48         0.10128E+06   0.42193E+05   0.37984E+06   0.00000E+00
       0.00      41940.81         0.10055E+06   0.41889E+05   0.37711E+06   0.00000E+00
       0.00      41981.14         0.99762E+05   0.41561E+05   0.37415E+06   0.00000E+00
       0.00      42021.46         0.98925E+05   0.41212E+05   0.37101E+06   0.00000E+00
       0.00      42061.79         0.98057E+05   0.40850E+05   0.36776E+06   0.00000E+00
       0.00      42102.12         0.97177E+05   0.40484E+05   0.36446E+06   0.00000E+00
       0.00      42142.45         0.96299E+05   0.40118E+05   0.36116E+06   0.00000E+00
       0.00      42182.77         0.95423E+05   0.39753E+05   0.35788E+06   0.00000E+00
       0.00      42223.10         0.94535E+05   0.39383E+05   0.35455E+06   0.00000E+00
       0.00      42263.43         0.93610E+05   0.38998E+05   0.35108E+06   0.00000E+00
       0.00      42303.76         0.92620E+05   0.38585E+05   0.34737E+06   0.00000E+00
       0.00      42344.09         0.91539E+05   0.38135E+05   0.34331E+06   0.00000E+00
       0.00      42384.41         0.90360E+05   0.37644E+05   0.33889E+06   0.00000E+00
       0.00      42424.74         0.89092E+05   0.37116E+05   0.33414E+06   0.00000E+00
       0.00      42465.07         0.87767E+05   0.36564E+05   0.32917E+06   0.00000E+00
       0.00      42505.40         0.86421E+05   0.36003E+05   0.32412E+06   0.00000E+00
       0.00      42545.72         0.85088E+05   0.35447E+05   0.31912E+06   0.00000E+00
       0.00      42586.05         0.83787E+05   0.34905E+05   0.31424E+06   0.00000E+00
       0.00      42626.38         0.82521E+05   0.34378E+05   0.30949E+06   0.00000E+00
       0.00      42666.71         0.81280E+05   0.33861E+05   0.30483E+06   0.00000E+00
       0.00      42707.03         0.80049E+05   0.33348E+05   0.30022E+06   0.00000E+00
       0.00      42747.36         0.78818E+05   0.32835E+05   0.29560E+06   0.00000E+00
       0.00      42787.69         0.77585E+05   0.32322E+05   0.29098E+06   0.00000E+00
       0.00      42828.02         0.76353E+05   0.31808E+05   0.28636E+06   0.00000E+00
       0.00      42868.35         0.75133E+05   0.31300E+05   0.28178E+06   0.00000E+00
       0.00      42908.67         0.73938E+05   0.30802E+05   0.27730E+06   0.00000E+00
       0.00      42949.00         0.72778E+05   0.30319E+05   0.27295E+06   0.00000E+00
       0.00      42989.33         0.71661E+05   0.29854E+05   0.26876E+06   0.00000E+00
       0.00      43029.66         0.70590E+05   0.29408E+05   0.26474E+06   0.00000E+00
